rescue_id,business_id,business_name,business_type,city,country,latitude,longitude,date,food_category,food_item,surplus_items,surplus_kg,original_price,rescue_price,currency,meals_available,meals_rescued,meals_expired,rescue_rate,revenue_recovered_local,revenue_recovered_usd,co2e_avoided_kg,data_type
RES-0000042,TAN-ARU-01,Savanna Arusha 01,Restaurant,Arusha,Tanzania,-3.42387,36.642425,2025-09-14,Pastries,Muffin,29,4.53,41170.0,20130.0,TZS,9,7,2,0.7778,140910.0,54.2,2.98,Synthetic
RES-0000043,RWA-KIG-02,Savanna Kigali 02,Restaurant,Kigali,Rwanda,-1.94494,30.046997,2025-06-20,Fruits & Vegetables,Pineapples,3,1.64,4030.0,1490.0,RWF,3,1,2,0.3333,1490.0,1.03,0.82,Synthetic
RES-0000044,NIG-POR-01,Kitchen Port Harcourt 01,Restaurant,Port Harcourt,Nigeria,4.815987,7.034285,2025-05-24,Bakery,Baguette,20,4.69,7220.0,4690.0,NGN,14,10,4,0.7143,46900.0,29.31,5.68,Synthetic
RES-0000045,TAN-MWA-01,Urban Cup Mwanza 01,Café,Mwanza,Tanzania,-2.486603,32.958975,2025-01-06,Pastries,Meat Pie,6,1.05,42600.0,15490.0,TZS,3,2,1,0.6667,30980.0,11.92,1.51,Synthetic
RES-0000046,UGA-JIN-01,City Market Jinja 01,Supermarket,Jinja,Uganda,0.464262,33.197987,2025-10-17,Rice & Grains,Maize Meal,17,7.75,29340.0,17860.0,UGX,24,18,6,0.75,321480.0,86.89,12.3,Synthetic
RES-0000047,GHA-KUM-01,Golden Crust Kumasi 01,Bakery,Kumasi,Ghana,6.693919,-1.597795,2025-06-02,Beverages,Soft Drink,18,7.44,66.0,29.0,GHS,16,5,11,0.3125,145.0,9.35,4.79,Synthetic
RES-0000048,NIG-ENU-01,Taste Hub Enugu 01,Caterer,Enugu,Nigeria,6.499044,7.5655,2025-01-19,Fruits & Vegetables,Pineapples,58,28.25,7900.0,4310.0,NGN,75,74,1,0.9867,318940.0,199.34,37.85,Synthetic
RES-0000049,RWA-MUS-01,Quick Bite Musanze 01,Food Vendor,Musanze,Rwanda,-1.462001,29.716465,2025-09-12,Prepared Meals,Chicken Meal,16,6.6,8270.0,3490.0,RWF,20,20,0,1.0,69800.0,48.14,15.22,Synthetic
RES-0000050,NIG-ABU-01,Civic Abuja 01,Hotel,Abuja,Nigeria,9.066438,7.377543,2025-06-02,Prepared Meals,Beans & Plantain,43,20.25,3940.0,2150.0,NGN,53,27,26,0.5094,58050.0,36.28,21.44,Synthetic
RES-0000051,NIG-IBA-01,Event Kitchen Ibadan 01,Caterer,Ibadan,Nigeria,7.372521,3.985058,2025-08-23,Prepared Meals,Fried Rice,76,35.89,2220.0,1430.0,NGN,69,43,26,0.6232,61490.0,38.43,30.57,Synthetic
RES-0000052,NIG-LAG-02,Harvest Lagos 02,Restaurant,Lagos,Nigeria,6.570473,3.377935,2025-04-09,Pastries,Meat Pie,72,11.31,3740.0,2110.0,NGN,21,16,5,0.7619,33760.0,21.1,18.51,Synthetic
RES-0000053,UGA-KAM-01,Daily Brew Kampala 01,Café,Kampala,Uganda,0.262177,32.549224,2025-09-17,Rice & Grains,Brown Rice,14,5.49,34480.0,13630.0,UGX,10,9,1,0.9,122670.0,33.15,5.96,Synthetic
RES-0000054,RWA-MUS-01,Fresh Choice Musanze 01,Supermarket,Musanze,Rwanda,-1.558151,29.628563,2025-12-09,Fruits & Vegetables,Mixed Vegetables,30,15.45,7340.0,3950.0,RWF,37,29,8,0.7838,114550.0,79.0,30.7,Synthetic
RES-0000055,RWA-MUS-01,Bean Musanze 01,Café,Musanze,Rwanda,-1.537964,29.626573,2025-07-28,Bakery,Bread Loaf,5,1.41,6900.0,3080.0,RWF,2,1,1,0.5,3080.0,2.12,0.66,Synthetic
RES-0000056,UGA-JIN-02,Urban Jinja 02,Restaurant,Jinja,Uganda,0.434853,33.201713,2025-08-21,Bakery,Baguette,20,5.51,26480.0,11910.0,UGX,14,11,3,0.7857,131010.0,35.41,7.2,Synthetic
RES-0000057,GHA-TAK-01,Street Taste Takoradi 01,Food Vendor,Takoradi,Ghana,4.927533,-1.740309,2025-11-15,Dairy,Custard,12,3.22,31.0,13.0,GHS,7,6,1,0.8571,78.0,5.03,5.32,Synthetic
RES-0000058,SOU-PRE-01,City Bites Pretoria 01,Food Vendor,Pretoria,South Africa,-25.785334,28.200513,2025-02-08,Rice & Grains,Brown Rice,17,6.69,125.0,48.0,ZAR,21,14,7,0.6667,672.0,37.33,11.27,Synthetic
RES-0000059,NIG-ABE-01,Sunrise Abeokuta 01,Bakery,Abeokuta,Nigeria,7.156436,3.33272,2025-01-28,Prepared Meals,Beans & Plantain,8,4.06,3270.0,1960.0,NGN,12,9,3,0.75,17640.0,11.02,4.85,Synthetic
RES-0000060,NIG-ABU-01,Urban Abuja 01,Restaurant,Abuja,Nigeria,9.041219,7.396653,2025-12-13,Bakery,Sliced Bread,5,1.2,4330.0,2200.0,NGN,2,1,1,0.5,2200.0,1.38,0.55,Synthetic
RES-0000061,RWA-KIG-01,Fresh Oven Kigali 01,Bakery,Kigali,Rwanda,-1.947082,30.034531,2025-11-25,Prepared Meals,Local Rice Meal,27,11.54,8830.0,4360.0,RWF,26,8,18,0.3077,34880.0,24.06,5.7,Synthetic
RES-0000062,KEN-MOM-01,Prime Plate Mombasa 01,Caterer,Mombasa,Kenya,-4.116966,39.678435,2025-06-02,Prepared Meals,Pasta Meal,89,42.42,645.0,295.0,KES,82,73,9,0.8902,21535.0,165.65,56.28,Synthetic
RES-0000063,SOU-JOH-01,Fresh Johannesburg 01,Restaurant,Johannesburg,South Africa,-26.22031,28.014876,2025-07-02,Pastries,Meat Pie,24,3.97,259.0,113.0,ZAR,9,9,0,1.0,1017.0,56.5,4.71,Synthetic
RES-0000064,UGA-KAM-01,City Market Kampala 01,Supermarket,Kampala,Uganda,0.379603,32.541803,2025-03-28,Pastries,Croissant,36,6.58,23030.0,9060.0,UGX,14,9,5,0.6429,81540.0,22.04,3.93,Synthetic
RES-0000065,SOU-PRE-01,Savanna Pretoria 01,Restaurant,Pretoria,South Africa,-25.778477,28.247453,2025-01-25,Pastries,Croissant,39,6.4,268.0,149.0,ZAR,16,5,11,0.3125,745.0,41.39,4.09,Synthetic
RES-0000066,KEN-NAK-01,Prime Plate Nakuru 01,Caterer,Nakuru,Kenya,-0.21937,36.082683,2025-10-02,Prepared Meals,Fried Rice,98,40.75,206.0,101.0,KES,79,60,19,0.7595,6060.0,46.62,38.5,Synthetic
RES-0000067,KEN-NAK-01,Fresh Nakuru 01,Restaurant,Nakuru,Kenya,-0.288816,36.097053,2025-05-18,Rice & Grains,Oats,16,7.49,1550.0,630.0,KES,13,7,6,0.5385,4410.0,33.92,6.57,Synthetic
RES-0000068,NIG-KAN-02,Green Cup Kano 02,Café,Kano,Nigeria,11.994573,8.57819,2025-02-04,Rice & Grains,Brown Rice,44,21.46,3760.0,1730.0,NGN,59,41,18,0.6949,70930.0,44.33,38.83,Synthetic
RES-0000069,NIG-IBA-01,Sunrise Ibadan 01,Bakery,Ibadan,Nigeria,7.348337,3.967984,2025-05-07,Rice & Grains,Maize Meal,24,9.45,6380.0,2940.0,NGN,24,21,3,0.875,61740.0,38.59,11.64,Synthetic
RES-0000070,GHA-TAM-01,Mama's Tamale 01,Food Vendor,Tamale,Ghana,9.434613,-0.920712,2025-03-18,Bakery,Whole Wheat Bread,6,1.4,65.0,30.0,GHS,3,1,2,0.3333,30.0,1.94,0.81,Synthetic
RES-0000071,NIG-ABU-01,Fresh Oven Abuja 01,Bakery,Abuja,Nigeria,9.021125,7.371383,2025-06-03,Beverages,Soft Drink,55,25.17,7270.0,3550.0,NGN,64,60,4,0.9375,213000.0,133.12,54.39,Synthetic
RES-0000072,GHA-KUM-01,Grand Kumasi 01,Hotel,Kumasi,Ghana,6.694975,-1.635506,2025-07-07,Fruits & Vegetables,Mangoes,60,33.26,41.0,20.0,GHS,87,69,18,0.7931,1380.0,89.03,49.37,Synthetic
RES-0000073,TAN-MWA-01,Premier Mwanza 01,Hotel,Mwanza,Tanzania,-2.479445,32.876318,2025-10-29,Prepared Meals,Pasta Meal,59,27.24,31650.0,16700.0,TZS,54,43,11,0.7963,718100.0,276.19,29.96,Synthetic
RES-0000074,NIG-LAG-01,Celebration Lagos 01,Caterer,Lagos,Nigeria,6.507516,3.392623,2025-09-16,Rice & Grains,Millet Pack,136,56.23,719.0,325.0,NGN,134,58,76,0.4328,18850.0,11.78,44.13,Synthetic
RES-0000075,NIG-POR-01,Taste Hub Port Harcourt 01,Caterer,Port Harcourt,Nigeria,4.884919,7.077369,2025-10-02,Prepared Meals,Beans & Plantain,40,17.43,2080.0,780.0,NGN,37,25,12,0.6757,19500.0,12.19,16.31,Synthetic
RES-0000076,NIG-IBA-02,Fresh Oven Ibadan 02,Bakery,Ibadan,Nigeria,7.434568,4.015257,2025-09-12,Rice & Grains,Grain Mix,48,22.83,6320.0,2440.0,NGN,44,24,20,0.5455,58560.0,36.6,25.89,Synthetic
RES-0000077,NIG-ONI-02,Urban Onitsha 02,Restaurant,Onitsha,Nigeria,6.122944,6.785402,2025-12-27,Prepared Meals,Chicken Meal,12,4.62,5340.0,2830.0,NGN,10,9,1,0.9,25470.0,15.92,3.96,Synthetic
RES-0000078,RWA-MUS-02,Urban Cup Musanze 02,Café,Musanze,Rwanda,-1.498928,29.617626,2025-11-18,Prepared Meals,Local Rice Meal,46,17.61,6240.0,3020.0,RWF,48,32,16,0.6667,96640.0,66.65,17.64,Synthetic
RES-0000079,KEN-NAI-01,Celebration Nairobi 01,Caterer,Nairobi,Kenya,-1.247829,36.805252,2025-11-04,Bakery,Dinner Rolls,106,24.52,697.0,435.0,KES,46,45,1,0.9783,19575.0,150.58,41.82,Synthetic
RES-0000080,UGA-JIN-01,Green Cup Jinja 01,Café,Jinja,Uganda,0.41334,33.155573,2025-08-10,Bakery,Bread Loaf,73,20.73,50460.0,20790.0,UGX,68,43,25,0.6324,893970.0,241.61,36.2,Synthetic
RES-0000081,RWA-MUS-01,Golden Crust Musanze 01,Bakery,Musanze,Rwanda,-1.543331,29.634033,2025-12-10,Prepared Meals,Fried Rice,19,9.12,3160.0,2040.0,RWF,25,24,1,0.96,48960.0,33.77,13.5,Synthetic
RES-0000082,GHA-TAK-02,Street Taste Takoradi 02,Food Vendor,Takoradi,Ghana,4.854114,-1.729946,2025-02-26,Fruits & Vegetables,Tomatoes,11,5.28,70.0,28.0,GHS,11,2,9,0.1818,56.0,3.61,1.24,Synthetic
RES-0000083,TAN-DAR-01,Street Taste Dar es Salaam 01,Food Vendor,Dar es Salaam,Tanzania,-6.823381,39.182542,2025-12-07,Fruits & Vegetables,Oranges,42,18.24,34910.0,16940.0,TZS,40,34,6,0.85,575960.0,221.52,34.53,Synthetic
RES-0000084,NIG-IBA-03,Golden Crust Ibadan 03,Bakery,Ibadan,Nigeria,7.301464,3.955295,2025-05-31,Rice & Grains,Grain Mix,96,43.47,5070.0,2790.0,NGN,105,62,43,0.5905,172980.0,108.11,38.95,Synthetic
RES-0000085,NIG-BEN-01,Daily Brew Benin City 01,Café,Benin City,Nigeria,6.375292,5.644971,2025-01-05,Rice & Grains,Grain Mix,35,16.9,1490.0,870.0,NGN,44,27,17,0.6136,23490.0,14.68,24.78,Synthetic
RES-0000086,NIG-ABU-01,Bean Abuja 01,Café,Abuja,Nigeria,9.068807,7.334472,2025-08-21,Rice & Grains,Millet Pack,18,8.82,3730.0,1560.0,NGN,20,12,8,0.6,18720.0,11.7,8.24,Synthetic
RES-0000087,RWA-KIG-03,Fresh Kigali 03,Restaurant,Kigali,Rwanda,-1.957442,30.023654,2025-12-24,Beverages,Fruit Juice,29,13.26,11870.0,4680.0,RWF,26,16,10,0.6154,74880.0,51.64,8.06,Synthetic
RES-0000088,KEN-NAI-01,Morning Nairobi 01,Bakery,Nairobi,Kenya,-1.270631,36.760176,2025-09-26,Prepared Meals,Pasta Meal,87,36.73,1520.0,870.0,KES,91,71,20,0.7802,61770.0,475.15,54.78,Synthetic
RES-0000089,NIG-LAG-02,Taste Hub Lagos 02,Caterer,Lagos,Nigeria,6.50866,3.400362,2025-11-20,Dairy,Cheese,83,27.11,4970.0,2200.0,NGN,66,43,23,0.6515,94600.0,59.12,29.62,Synthetic
RES-0000090,KEN-NAI-01,Urban Cup Nairobi 01,Café,Nairobi,Kenya,-1.298415,36.803708,2025-03-28,Fruits & Vegetables,Bananas,15,6.79,349.0,224.0,KES,13,12,1,0.9231,2688.0,20.68,11.55,Synthetic
RES-0000091,NIG-ABE-01,Quick Bite Abeokuta 01,Food Vendor,Abeokuta,Nigeria,7.134875,3.365803,2025-07-20,Bakery,Baguette,16,4.26,6270.0,2780.0,NGN,11,9,2,0.8182,25020.0,15.64,5.96,Synthetic
RES-0000092,RWA-MUS-02,City Bites Musanze 02,Food Vendor,Musanze,Rwanda,-1.514658,29.6538,2025-06-16,Prepared Meals,Pasta Meal,19,7.46,3350.0,1420.0,RWF,23,13,10,0.5652,18460.0,12.73,8.04,Synthetic
RES-0000093,GHA-TAM-01,Fresh Choice Tamale 01,Supermarket,Tamale,Ghana,9.393216,-0.878898,2025-03-18,Dairy,Custard,62,19.76,72.0,32.0,GHS,41,30,11,0.7317,960.0,61.94,19.36,Synthetic
RES-0000094,GHA-TAK-01,Urban Cup Takoradi 01,Café,Takoradi,Ghana,4.854524,-1.749788,2025-08-29,Prepared Meals,Local Rice Meal,3,1.54,24.0,14.0,GHS,3,3,0,1.0,42.0,2.71,1.85,Synthetic
RES-0000095,NIG-LAG-01,Quick Bite Lagos 01,Food Vendor,Lagos,Nigeria,6.528855,3.360738,2025-07-10,Rice & Grains,Maize Meal,56,25.77,2570.0,1410.0,NGN,84,67,17,0.7976,94470.0,59.04,44.09,Synthetic
RES-0000096,SOU-CAP-01,City Bites Cape Town 01,Food Vendor,Cape Town,South Africa,-33.956494,18.437493,2025-06-21,Bakery,Bread Loaf,48,12.58,139.0,86.0,ZAR,33,16,17,0.4848,1376.0,76.44,12.66,Synthetic
RES-0000097,GHA-KUM-01,Fresh Choice Kumasi 01,Supermarket,Kumasi,Ghana,6.698016,-1.643783,2025-01-24,Bakery,Bread Loaf,62,15.7,18.0,9.0,GHS,36,27,9,0.75,243.0,15.68,20.17,Synthetic
RES-0000098,NIG-ONI-01,Golden Crust Onitsha 01,Bakery,Onitsha,Nigeria,6.164073,6.74752,2025-04-11,Prepared Meals,Local Rice Meal,100,50.35,5160.0,2490.0,NGN,108,73,35,0.6759,181770.0,113.61,68.58,Synthetic
RES-0000099,NIG-BEN-02,Street Taste Benin City 02,Food Vendor,Benin City,Nigeria,6.310473,5.621077,2025-10-03,Pastries,Meat Pie,4,0.7,4630.0,2810.0,NGN,1,0,1,0.0,0.0,0.0,0.0,Synthetic
RES-0000100,COT-BOU-01,Mama's Bouake 01,Food Vendor,Bouake,Cote d'Ivoire,7.700148,-5.015632,2025-04-12,Fruits & Vegetables,Mangoes,16,8.95,10070.0,4150.0,XOF,25,18,7,0.72,74700.0,122.46,9.59,Synthetic
RES-0000101,ETH-BAH-01,City Bites Bahir Dar 01,Food Vendor,Bahir Dar,Ethiopia,11.614983,37.296379,2025-08-18,Rice & Grains,Brown Rice,35,14.44,1360.0,630.0,ETB,35,20,15,0.5714,12600.0,86.9,19.17,Synthetic
RES-0000102,RWA-MUS-02,Royal Musanze 02,Hotel,Musanze,Rwanda,-1.523121,29.640783,2025-02-24,Bakery,Dinner Rolls,42,9.14,7880.0,3130.0,RWF,24,13,11,0.5417,40690.0,28.06,10.57,Synthetic
RES-0000103,NIG-ABE-02,Fresh Choice Abeokuta 02,Supermarket,Abeokuta,Nigeria,7.138047,3.321382,2025-12-30,Bakery,Bread Loaf,67,17.74,6460.0,2730.0,NGN,47,20,27,0.4255,54600.0,34.12,18.53,Synthetic
RES-0000104,COT-BOU-01,Daily Brew Bouake 01,Café,Bouake,Cote d'Ivoire,7.663014,-5.088079,2025-12-26,Prepared Meals,Pasta Meal,26,11.9,9140.0,5820.0,XOF,34,20,14,0.5882,116400.0,190.82,19.14,Synthetic
RES-0000105,UGA-ENT-01,Garden Entebbe 01,Hotel,Entebbe,Uganda,0.082243,32.502638,2025-03-01,Rice & Grains,Brown Rice,35,15.71,29470.0,18160.0,UGX,44,41,3,0.9318,744560.0,201.23,27.18,Synthetic
RES-0000106,RWA-MUS-02,City Market Musanze 02,Supermarket,Musanze,Rwanda,-1.442357,29.650175,2025-05-18,Pastries,Doughnut,46,7.35,5670.0,2480.0,RWF,17,14,3,0.8235,34720.0,23.94,9.56,Synthetic
RES-0000107,GHA-KUM-02,Fresh Choice Kumasi 02,Supermarket,Kumasi,Ghana,6.630564,-1.581,2025-05-22,Rice & Grains,Oats,12,6.12,108.0,60.0,GHS,14,14,0,1.0,840.0,54.19,6.19,Synthetic
RES-0000108,NIG-ONI-01,Premier Onitsha 01,Hotel,Onitsha,Nigeria,6.182954,6.741937,2025-01-02,Pastries,Muffin,17,2.8,5070.0,2070.0,NGN,8,5,3,0.625,10350.0,6.47,2.92,Synthetic
